"CODE","DESCRIPTION","VALID","VALID_THRU"
"110","Hospital Inpatient (Part A) Non-payment/Zero Claim","1",""
"111","Hospital Inpatient (Part A) Admit Through Discharge","1",""
"112","Hospital Inpatient (Part A) Interim - First Claim","1",""
"113","Hospital Inpatient (Part A) Interim-Continuing Claims","1",""
"114","Hospital Inpatient (Part A) Interim - Last Claim","1",""
"115","Hospital Inpatient (Part A) Late Charge Only","1",""
"117","Hospital Inpatient (Part A) Replacement of Prior Claim","1",""
"118","Hospital Inpatient (Part A) Void/Cancel of Prior Claim","1",""
"119","Hospital Inpatient (Part A) Final claim for a Home Health PPS Period","1",""
"11A","Hospital Inpatient (Part A) Admission/Election Notice for Hospice","1",""
"11B","Hospital Inpatient (Part A) Hospice Termination/ Revocation Notice","1",""
"11C","Hospital Inpatient (Part A) Hospice Change of Provider Notice","1",""
"11D","Hospital Inpatient (Part A) Hospice Election Void/Cancel","1",""
"11E","Hospital Inpatient (Part A) Hospice Change of Ownership","1",""
"11F","Hospital Inpatient (Part A) Beneficiary Initiated Adjustment Claim","1",""
"11G","Hospital Inpatient (Part A) CWF Initiated Adjustment Claim","1",""
"11H","Hospital Inpatient (Part A) CMS Initiated Adjustment Claim","1",""
"11I","Hospital Inpatient (Part A) FI Adjustment Claim (Other than QIO or Provider)","1",""
"11J","Hospital Inpatient (Part A) Initiated Adjustment Claim/Other","1",""
"11K","Hospital Inpatient (Part A) OIG Initiated Adjustment Claim","1",""
"11M","Hospital Inpatient (Part A) MSP Initiated Adjustment Claim","1",""
"11O","Hospital Inpatient (Part A) Nonpayment/Zero Claims","1",""
"11P","Hospital Inpatient (Part A) QIO Adjustment Claim","1",""
"11Q","Hospital Inpatient (Part A) Reopening/Adjustment","1",""
"11X","Hospital Inpatient (Part A) Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"11Y","Hospital Inpatient (Part A) Replacement of Prior Abbreviated Encounter Submission","1",""
"11Z","Hospital Inpatient (Part A) New Abbreviated Encounter Submission","1",""
"120","Hospital Inpatient (Part B) Non-payment/Zero Claim","1",""
"121","Hospital Inpatient (Part B) Admit Through Discharge","1",""
"122","Hospital Inpatient (Part B) Interim - First Claim","1",""
"123","Hospital Inpatient (Part B) Interim-Continuing Claims","1",""
"124","Hospital Inpatient (Part B) Interim - Last Claim","1",""
"125","Hospital Inpatient (Part B) Late Charge Only","1",""
"127","Hospital Inpatient (Part B) Replacement of Prior Claim","1",""
"128","Hospital Inpatient (Part B) Void/Cancel of Prior Claim","1",""
"129","Hospital Inpatient (Part B) Final claim for a Home Health PPS Period","1",""
"12A","Hospital Inpatient (Part B) Admission/Election Notice for Hospice","1",""
"12B","Hospital Inpatient (Part B) Hospice Termination/ Revocation Notice","1",""
"12C","Hospital Inpatient (Part B) Hospice Change of Provider Notice","1",""
"12D","Hospital Inpatient (Part B) Hospice Election Void/Cancel","1",""
"12E","Hospital Inpatient (Part B) Hospice Change of Ownership","1",""
"12F","Hospital Inpatient (Part B) Beneficiary Initiated Adjustment Claim","1",""
"12G","Hospital Inpatient (Part B) CWF Initiated Adjustment Claim","1",""
"12H","Hospital Inpatient (Part B) CMS Initiated Adjustment Claim","1",""
"12I","Hospital Inpatient (Part B) FI Adjustment Claim (Other than QIO or Provider)","1",""
"12J","Hospital Inpatient (Part B) Initiated Adjustment Claim/Other","1",""
"12K","Hospital Inpatient (Part B) OIG Initiated Adjustment Claim","1",""
"12M","Hospital Inpatient (Part B) MSP Initiated Adjustment Claim","1",""
"12O","Hospital Inpatient (Part B) Nonpayment/Zero Claims","1",""
"12P","Hospital Inpatient (Part B) QIO Adjustment Claim","1",""
"12Q","Hospital Inpatient (Part B) Reopening/Adjustment","1",""
"12X","Hospital Inpatient (Part B) Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"12Y","Hospital Inpatient (Part B) Replacement of Prior Abbreviated Encounter Submission","1",""
"12Z","Hospital Inpatient (Part B) New Abbreviated Encounter Submission","1",""
"130","Hospital Outpatient Non-payment/Zero Claim","1",""
"131","Hospital Outpatient Admit Through Discharge","1",""
"132","Hospital Outpatient Interim - First Claim","1",""
"133","Hospital Outpatient Interim-Continuing Claims","1",""
"134","Hospital Outpatient Interim - Last Claim","1",""
"135","Hospital Outpatient Late Charge Only","1",""
"137","Hospital Outpatient Replacement of Prior Claim","1",""
"138","Hospital Outpatient Void/Cancel of Prior Claim","1",""
"139","Hospital Outpatient Final claim for a Home Health PPS Period","1",""
"13A","Hospital Outpatient Admission/Election Notice for Hospice","1",""
"13B","Hospital Outpatient Hospice Termination/ Revocation Notice","1",""
"13C","Hospital Outpatient Hospice Change of Provider Notice","1",""
"13D","Hospital Outpatient Hospice Election Void/Cancel","1",""
"13E","Hospital Outpatient Hospice Change of Ownership","1",""
"13F","Hospital Outpatient Beneficiary Initiated Adjustment Claim","1",""
"13G","Hospital Outpatient CWF Initiated Adjustment Claim","1",""
"13H","Hospital Outpatient CMS Initiated Adjustment Claim","1",""
"13I","Hospital Outpatient FI Adjustment Claim (Other than QIO or Provider)","1",""
"13J","Hospital Outpatient Initiated Adjustment Claim/Other","1",""
"13K","Hospital Outpatient OIG Initiated Adjustment Claim","1",""
"13M","Hospital Outpatient MSP Initiated Adjustment Claim","1",""
"13O","Hospital Outpatient Nonpayment/Zero Claims","1",""
"13P","Hospital Outpatient QIO Adjustment Claim","1",""
"13Q","Hospital Outpatient Reopening/Adjustment","1",""
"13X","Hospital Outpatient Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"13Y","Hospital Outpatient Replacement of Prior Abbreviated Encounter Submission","1",""
"13Z","Hospital Outpatient New Abbreviated Encounter Submission","1",""
"140","Hospital Other (Part B) Non-payment/Zero Claim","1",""
"141","Hospital Other (Part B) Admit Through Discharge","1",""
"142","Hospital Other (Part B) Interim - First Claim","1",""
"143","Hospital Other (Part B) Interim-Continuing Claims","1",""
"144","Hospital Other (Part B) Interim - Last Claim","1",""
"145","Hospital Other (Part B) Late Charge Only","1",""
"147","Hospital Other (Part B) Replacement of Prior Claim","1",""
"148","Hospital Other (Part B) Void/Cancel of Prior Claim","1",""
"149","Hospital Other (Part B) Final claim for a Home Health PPS Period","1",""
"14A","Hospital Other (Part B) Admission/Election Notice for Hospice","1",""
"14B","Hospital Other (Part B) Hospice Termination/ Revocation Notice","1",""
"14C","Hospital Other (Part B) Hospice Change of Provider Notice","1",""
"14D","Hospital Other (Part B) Hospice Election Void/Cancel","1",""
"14E","Hospital Other (Part B) Hospice Change of Ownership","1",""
"14F","Hospital Other (Part B) Beneficiary Initiated Adjustment Claim","1",""
"14G","Hospital Other (Part B) CWF Initiated Adjustment Claim","1",""
"14H","Hospital Other (Part B) CMS Initiated Adjustment Claim","1",""
"14I","Hospital Other (Part B) FI Adjustment Claim (Other than QIO or Provider)","1",""
"14J","Hospital Other (Part B) Initiated Adjustment Claim/Other","1",""
"14K","Hospital Other (Part B) OIG Initiated Adjustment Claim","1",""
"14M","Hospital Other (Part B) MSP Initiated Adjustment Claim","1",""
"14O","Hospital Other (Part B) Nonpayment/Zero Claims","1",""
"14P","Hospital Other (Part B) QIO Adjustment Claim","1",""
"14Q","Hospital Other (Part B) Reopening/Adjustment","1",""
"14X","Hospital Other (Part B) Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"14Y","Hospital Other (Part B) Replacement of Prior Abbreviated Encounter Submission","1",""
"14Z","Hospital Other (Part B) New Abbreviated Encounter Submission","1",""
"150","Hospital Intermediate Care - Level I Non-payment/Zero Claim","1",""
"151","Hospital Intermediate Care - Level I Admit Through Discharge","1",""
"152","Hospital Intermediate Care - Level I Interim - First Claim","1",""
"153","Hospital Intermediate Care - Level I Interim-Continuing Claims","1",""
"154","Hospital Intermediate Care - Level I Interim - Last Claim","1",""
"155","Hospital Intermediate Care - Level I Late Charge Only","1",""
"157","Hospital Intermediate Care - Level I Replacement of Prior Claim","1",""
"158","Hospital Intermediate Care - Level I Void/Cancel of Prior Claim","1",""
"159","Hospital Intermediate Care - Level I Final claim for a Home Health PPS Period","1",""
"15A","Hospital Intermediate Care - Level I Admission/Election Notice for Hospice","1",""
"15B","Hospital Intermediate Care - Level I Hospice Termination/ Revocation Notice","1",""
"15C","Hospital Intermediate Care - Level I Hospice Change of Provider Notice","1",""
"15D","Hospital Intermediate Care - Level I Hospice Election Void/Cancel","1",""
"15E","Hospital Intermediate Care - Level I Hospice Change of Ownership","1",""
"15F","Hospital Intermediate Care - Level I Beneficiary Initiated Adjustment Claim","1",""
"15G","Hospital Intermediate Care - Level I CWF Initiated Adjustment Claim","1",""
"15H","Hospital Intermediate Care - Level I CMS Initiated Adjustment Claim","1",""
"15I","Hospital Intermediate Care - Level I FI Adjustment Claim (Other than QIO or Provider)","1",""
"15J","Hospital Intermediate Care - Level I Initiated Adjustment Claim/Other","1",""
"15K","Hospital Intermediate Care - Level I OIG Initiated Adjustment Claim","1",""
"15M","Hospital Intermediate Care - Level I MSP Initiated Adjustment Claim","1",""
"15O","Hospital Intermediate Care - Level I Nonpayment/Zero Claims","1",""
"15P","Hospital Intermediate Care - Level I QIO Adjustment Claim","1",""
"15Q","Hospital Intermediate Care - Level I Reopening/Adjustment","1",""
"15X","Hospital Intermediate Care - Level I Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"15Y","Hospital Intermediate Care - Level I Replacement of Prior Abbreviated Encounter Submission","1",""
"15Z","Hospital Intermediate Care - Level I New Abbreviated Encounter Submission","1",""
"160","Hospital Intermediate Care - Level II Non-payment/Zero Claim","1",""
"161","Hospital Intermediate Care - Level II Admit Through Discharge","1",""
"162","Hospital Intermediate Care - Level II Interim - First Claim","1",""
